file_path;filename;mistral_is_doc_id;mistral_id_doc_type;mistral_doc_type;azure_is_doc_id;azure_id_doc_type;azure_doc_type;mistral_vision_is_doc_id;mistral_vision_id_doc_type;mistral_vision_doc_type;azure_vision_is_doc_id;azure_vision_id_doc_type;azure_vision_doc_type;aligned
dataset/id_cards;fnic-jpg-1994132894.jpg;True;id card;identity card;True;id card;CARTE NATIONALE D'IDENTITÉ / IDENTITY CARD;True;id card;French National Identity Card (Carte Nationale d'Identité);True;id card;French national identity card;False
dataset/id_cards;french-id-card-real-french-id-card-french-identity-card-with-french-id-card-template-1565833240.jpg;True;id card;national identity card;True;id card;CARTE NATIONALE D'IDENTITÉ;True;id_card;French National Identity Card (Carte Nationale d'Identité);True;id card;French national identity card;False
dataset/jdd;1-1822160908.jpg;False;not_identity_doc;telephone_bill;False;not_identity_doc;facture;False;not_identity_doc;telecom_bill;False;not_identity_doc;utility_bill;False
dataset/jdd;1689160419-3971040533.jpg;False;not_identity_doc;invoice;False;not_identity_doc;avis d'échéance;False;not_identity_doc;rental_payment_notice;False;not_identity_doc;rent_invoice;False
dataset/jdd;1719685377-1436965417.jpg;False;not_identity_doc;utility_bill;False;not_identity_doc;attestation titulaire de contrat;False;not_identity_doc;attestation_titulaire_de_contrat;False;not_identity_doc;proof_of_residency;False
dataset/jdd;exemple-de-justificatif-de-domicile-3015945657.jpg;False;not_identity_doc;utility_bill;False;not_identity_doc;electricity bill;False;not_identity_doc;utility_bill;False;not_identity_doc;electricity bill;False
dataset/jdd;facture-EDF-page-1-1270172759.jpg;False;not_identity_doc;utility_bill;False;not_identity_doc;facture;False;not_identity_doc;utility_bill;False;not_identity_doc;utility_bill;False
dataset/passports;1683728325-20230510-new-passport-canada-4-3997758989.jpg;True;passport;passport;True;passport;passport;True;passport;government_issued_travel_document;True;passport;Canadian passport;False
dataset/passports;196079-3573231712.jpg;True;passport;passport;True;passport;passport;True;passport;government_issued_passport;True;passport;passport;False
dataset/passports;DelpEphraim_Passport-001-4263437215.jpg;True;passport;passport;True;passport;passport;True;passport;United States of America Passport;True;passport;passport;False
dataset/passports;Ecp5OYUWAAAdVec-2854078686.jpg;True;passport;passport;True;passport;passport;True;passport;Indian Passport;True;passport;Indian Passport;False
dataset/passports;Standard-passport-2638612431.jpg;True;passport;passport;True;passport;passport;True;passport;United Kingdom Passport (specimen);True;passport;UK passport;False
dataset/passports;french-diplomatic-passport-v0-0xptroj0uxia1-1085992610.jpg;True;passport;diplomatic passport;True;passport;passeport diplomatique;True;passport;Diplomatic Passport;True;passport;diplomatic passport;False
dataset/passports;passeport-controle-4-3813735177.jpg;True;passport;passport;True;passport;passport;True;passport;government_issued_travel_document;True;passport;passport;False
dataset/passports;passport-1-1721243253.jpg;True;passport;passport;True;passport;passport;True;passport;passport;True;passport;passport;True
dataset/false_doc;Voorbeeld-factuur-FR-1950745723.png;False;not_identity_doc;invoice;False;not_identity_doc;facture;False;not_identity_doc;invoice;False;not_identity_doc;invoice;False
dataset/false_doc;facture-proforma-1025995893.png;False;not_identity_doc;invoice;False;not_identity_doc;Facture Proforma;False;not_identity_doc;proforma_invoice;False;not_identity_doc;invoice;False
dataset/id_cards;France-ID-Card-front-1-4214685582.png;True;id card;identity card;True;id card;CARTE NATIONALE D'IDENTITE / IDENTITY CARD;True;id_card;French National Identity Card (Carte Nationale d'Identité);True;id card;French national identity card;False
dataset/passports;France-pass-1-3091894550.png;True;passport;passport;True;passport;passport;True;passport;government_issued_travel_document;True;passport;passport;False
dataset/passports;_133028110_passport_dates_2x640-nc-2868492495.png;True;passport;passport;True;passport;passport;True;passport;UK_Specimen_Passport;True;passport;passport;False
dataset/passports;public-3423989802.png;True;passport;passport;True;passport;passport;True;passport;REPUBLIC_FRENCH_PASSPORT;True;passport;French passport;False
